,Growth,Hour,Day
0,0.06573426573426573,00,Sunday
1,0.05454545454545454,01,Sunday
2,0.05454545454545454,02,Sunday
3,0.05660377358490566,03,Sunday
4,0.0,04,Sunday
5,0.0,05,Sunday
6,0.0,06,Sunday
7,0.0,07,Sunday
8,0.0,08,Sunday
9,0.0,09,Sunday
10,0.0,10,Sunday
11,0.0,11,Sunday
12,0.0,12,Sunday
13,0.05714285714285714,13,Sunday
14,0.16363636363636364,14,Sunday
15,-0.05454545454545454,15,Sunday
16,0.02727272727272727,16,Sunday
17,0.05454545454545455,17,Sunday
18,-0.01818181818181818,18,Sunday
19,0.04961538461538462,19,Sunday
20,0.02857142857142857,20,Sunday
21,0.09090909090909091,21,Sunday
22,-0.00909090909090909,22,Sunday
23,0.025,23,Sunday
0,0.06885964912280701,00,Monday
1,0.050649350649350645,01,Monday
2,0.13333333333333333,02,Monday
3,0.0,03,Monday
4,0.0,04,Monday
5,0.0,05,Monday
6,0.0,06,Monday
7,0.0,07,Monday
8,0.0,08,Monday
9,0.0,09,Monday
10,0.0,10,Monday
11,-0.08333333333333333,11,Monday
12,0.013475177304964538,12,Monday
13,0.0,13,Monday
14,0.01816239316239316,14,Monday
15,-0.04107142857142858,15,Monday
16,0.08867623604465709,16,Monday
17,0.01090909090909091,17,Monday
18,0.0,18,Monday
19,0.0,19,Monday
20,0.03333333333333333,20,Monday
21,0.07272727272727272,21,Monday
22,-0.00909090909090909,22,Monday
23,0.026953748006379584,23,Monday
0,0.06363636363636363,00,Tuesday
1,0.15000000000000002,01,Tuesday
2,0.0,02,Tuesday
3,0.0,03,Tuesday
4,0.0,04,Tuesday
5,0.0,05,Tuesday
6,0.0,06,Tuesday
7,0.0,07,Tuesday
8,0.0,08,Tuesday
9,0.09375,09,Tuesday
10,0.0,10,Tuesday
11,0.0,11,Tuesday
12,0.06818181818181818,12,Tuesday
13,0.10909090909090909,13,Tuesday
14,0.027958833619210977,14,Tuesday
15,0.10158102766798419,15,Tuesday
16,0.09000000000000001,16,Tuesday
17,0.05454545454545454,17,Tuesday
18,0.11428571428571428,18,Tuesday
19,0.0,19,Tuesday
20,0.0,20,Tuesday
21,0.0,21,Tuesday
22,0.01818181818181818,22,Tuesday
23,0.0,23,Tuesday
0,0.14545454545454545,00,Wednesday
1,-0.01818181818181818,01,Wednesday
2,0.1,02,Wednesday
3,0.0,03,Wednesday
4,0.0,04,Wednesday
5,0.0,05,Wednesday
6,0.0,06,Wednesday
7,0.0,07,Wednesday
8,-0.15,08,Wednesday
9,0.0,09,Wednesday
10,0.06666666666666667,10,Wednesday
11,0.0,11,Wednesday
12,0.0,12,Wednesday
13,0.14545454545454545,13,Wednesday
14,0.04393939393939394,14,Wednesday
15,0.027958833619210977,15,Wednesday
16,0.018867924528301886,16,Wednesday
17,-0.02,17,Wednesday
18,0.0,18,Wednesday
19,0.03333333333333333,19,Wednesday
20,0.037037037037037035,20,Wednesday
21,-0.02272727272727273,21,Wednesday
22,0.0,22,Wednesday
23,-0.03636363636363636,23,Wednesday
0,0.01818181818181818,00,Thursday
1,-0.02857142857142857,01,Thursday
2,0.0,02,Thursday
3,0.07272727272727272,03,Thursday
4,0.05454545454545454,04,Thursday
5,0.05454545454545454,05,Thursday
6,0.03636363636363636,06,Thursday
7,0.09090909090909091,07,Thursday
8,0.05454545454545454,08,Thursday
9,0.01818181818181818,09,Thursday
10,0.08333333333333333,10,Thursday
11,0.052564102564102565,11,Thursday
12,0.10795454545454546,12,Thursday
13,0.14349376114081996,13,Thursday
14,0.06363636363636363,14,Thursday
15,0.02727272727272727,15,Thursday
16,-0.0787037037037037,16,Thursday
17,-0.027777777777777776,17,Thursday
18,0.03333333333333333,18,Thursday
19,0.0,19,Thursday
20,-0.17272727272727273,20,Thursday
21,-0.37272727272727274,21,Thursday
22,-0.1998316498316498,22,Thursday
23,-0.045454545454545456,23,Thursday
0,0.015584415584415586,00,Friday
1,0.0,01,Friday
2,0.05,02,Friday
3,0.0,03,Friday
4,0.0,04,Friday
5,0.0,05,Friday
6,0.0,06,Friday
7,0.0,07,Friday
8,0.04047619047619047,08,Friday
9,0.0,09,Friday
10,0.05454545454545454,10,Friday
11,-0.13333333333333333,11,Friday
12,0.0,12,Friday
13,0.05,13,Friday
14,0.16363636363636364,14,Friday
15,0.12727272727272726,15,Friday
16,0.16666666666666666,16,Friday
17,0.0,17,Friday
18,0.0,18,Friday
19,0.0,19,Friday
20,0.0,20,Friday
21,0.0,21,Friday
22,0.0,22,Friday
23,0.11363636363636363,23,Friday
0,0.0,00,Saturday
1,0.09090909090909091,01,Saturday
2,0.03636363636363636,02,Saturday
3,0.01818181818181818,03,Saturday
4,0.10909090909090909,04,Saturday
5,-0.07272727272727272,05,Saturday
6,0.07272727272727272,06,Saturday
7,0.07272727272727272,07,Saturday
8,0.2,08,Saturday
9,0.07272727272727272,09,Saturday
10,0.07272727272727272,10,Saturday
11,0.18181818181818182,11,Saturday
12,0.09090909090909091,12,Saturday
13,0.07272727272727272,13,Saturday
14,0.09090909090909091,14,Saturday
15,0.05757575757575757,15,Saturday
16,0.06363636363636363,16,Saturday
17,0.09999999999999999,17,Saturday
18,0.027272727272727275,18,Saturday
19,0.01818181818181818,19,Saturday
20,-0.00909090909090909,20,Saturday
21,0.02727272727272727,21,Saturday
22,0.05454545454545454,22,Saturday
23,0.02727272727272727,23,Saturday
