,Growth,Hour,Day
0,0.6005050505050505,00,Sunday
1,0.4909090909090909,01,Sunday
2,0.2909090909090909,02,Sunday
3,0.7592592592592593,03,Sunday
4,0.0,04,Sunday
5,0.0,05,Sunday
6,0.0,06,Sunday
7,0.0,07,Sunday
8,0.0,08,Sunday
9,0.0,09,Sunday
10,0.0,10,Sunday
11,0.0,11,Sunday
12,0.0,12,Sunday
13,0.391304347826087,13,Sunday
14,0.7272727272727273,14,Sunday
15,0.5,15,Sunday
16,0.3090909090909091,16,Sunday
17,0.34545454545454546,17,Sunday
18,0.42727272727272725,18,Sunday
19,0.44999999999999996,19,Sunday
20,0.6,20,Sunday
21,0.6363636363636364,21,Sunday
22,0.7704545454545455,22,Sunday
23,0.9555555555555556,23,Sunday
0,0.5645604395604396,00,Monday
1,0.9068181818181817,01,Monday
2,0.8,02,Monday
3,0.0,03,Monday
4,0.0,04,Monday
5,0.0,05,Monday
6,0.0,06,Monday
7,0.0,07,Monday
8,0.0,08,Monday
9,0.0,09,Monday
10,0.0,10,Monday
11,1.4666666666666666,11,Monday
12,1.012888418079096,12,Monday
13,0.0,13,Monday
14,0.8511530398322851,14,Monday
15,0.6224025974025974,15,Monday
16,0.48583916083916084,16,Monday
17,0.4712121212121212,17,Monday
18,0.1,18,Monday
19,0.0,19,Monday
20,0.25,20,Monday
21,0.5363636363636364,21,Monday
22,0.3690909090909091,22,Monday
23,0.7092657342657342,23,Monday
0,0.7852272727272727,00,Tuesday
1,0.7769230769230768,01,Tuesday
2,0.0,02,Tuesday
3,0.0,03,Tuesday
4,0.0,04,Tuesday
5,0.0,05,Tuesday
6,0.0,06,Tuesday
7,0.0,07,Tuesday
8,0.0,08,Tuesday
9,0.7272727272727273,09,Tuesday
10,0.0,10,Tuesday
11,0.0,11,Tuesday
12,1.2439024390243902,12,Tuesday
13,1.5272727272727273,13,Tuesday
14,0.8935969868173258,14,Tuesday
15,0.6204545454545455,15,Tuesday
16,0.77,16,Tuesday
17,0.76,17,Tuesday
18,0.85,18,Tuesday
19,0.0,19,Tuesday
20,0.0,20,Tuesday
21,0.7333333333333334,21,Tuesday
22,0.34545454545454546,22,Tuesday
23,0.6346153846153846,23,Tuesday
0,0.4909090909090909,00,Wednesday
1,0.38181818181818183,01,Wednesday
2,0.3,02,Wednesday
3,0.0,03,Wednesday
4,0.0,04,Wednesday
5,0.0,05,Wednesday
6,0.0,06,Wednesday
7,0.0,07,Wednesday
8,1.0,08,Wednesday
9,0.4,09,Wednesday
10,0.9388888888888889,10,Wednesday
11,1.3,11,Wednesday
12,1.4,12,Wednesday
13,0.7929924242424242,13,Wednesday
14,1.0393939393939395,14,Wednesday
15,0.7037617554858934,15,Wednesday
16,0.8572327044025156,16,Wednesday
17,0.49666666666666665,17,Wednesday
18,0.0,18,Wednesday
19,0.64,19,Wednesday
20,0.5172413793103449,20,Wednesday
21,0.42500000000000004,21,Wednesday
22,0.23636363636363636,22,Wednesday
23,0.4909090909090909,23,Wednesday
0,0.7454545454545455,00,Thursday
1,0.8,01,Thursday
2,0.6,02,Thursday
3,0.6727272727272727,03,Thursday
4,0.8181818181818182,04,Thursday
5,0.8363636363636363,05,Thursday
6,1.0727272727272728,06,Thursday
7,1.1272727272727272,07,Thursday
8,0.9454545454545454,08,Thursday
9,1.3454545454545455,09,Thursday
10,0.8400000000000001,10,Thursday
11,0.9421052631578948,11,Thursday
12,0.7916083916083916,12,Thursday
13,0.8300324675324675,13,Thursday
14,0.5263636363636364,14,Thursday
15,0.47272727272727266,15,Thursday
16,0.5744301994301995,16,Thursday
17,0.5087719298245614,17,Thursday
18,0.52,18,Thursday
19,1.0,19,Thursday
20,0.2727272727272727,20,Thursday
21,0.5272727272727272,21,Thursday
22,0.6730407523510972,22,Thursday
23,0.6818181818181819,23,Thursday
0,0.4662337662337662,00,Friday
1,0.0,01,Friday
2,0.8292682926829268,02,Friday
3,0.0,03,Friday
4,0.0,04,Friday
5,0.0,05,Friday
6,0.0,06,Friday
7,0.0,07,Friday
8,1.6749999999999998,08,Friday
9,0.4,09,Friday
10,0.9636363636363636,10,Friday
11,1.5,11,Friday
12,0.8,12,Friday
13,0.9333333333333333,13,Friday
14,0.7090909090909091,14,Friday
15,0.5272727272727272,15,Friday
16,1.0,16,Friday
17,0.0,17,Friday
18,0.0,18,Friday
19,0.0,19,Friday
20,0.0,20,Friday
21,0.0,21,Friday
22,0.0,22,Friday
23,0.5714285714285714,23,Friday
0,0.6727272727272727,00,Saturday
1,0.6363636363636364,01,Saturday
2,0.6363636363636364,02,Saturday
3,0.5272727272727272,03,Saturday
4,0.8363636363636363,04,Saturday
5,0.6727272727272727,05,Saturday
6,0.9636363636363636,06,Saturday
7,0.6909090909090909,07,Saturday
8,1.2181818181818183,08,Saturday
9,1.018181818181818,09,Saturday
10,0.9818181818181818,10,Saturday
11,1.0909090909090908,11,Saturday
12,0.9090909090909091,12,Saturday
13,0.7636363636363637,13,Saturday
14,0.0,14,Saturday
15,0.6303030303030303,15,Saturday
16,0.34545454545454546,16,Saturday
17,0.35454545454545455,17,Saturday
18,0.3181818181818182,18,Saturday
19,0.2818181818181818,19,Saturday
20,0.2636363636363636,20,Saturday
21,0.35454545454545455,21,Saturday
22,0.19090909090909092,22,Saturday
23,0.5181818181818182,23,Saturday
