,Growth,Hour,Day
0,0.704642166344294,00,Sunday
1,0.6545454545454545,01,Sunday
2,0.8727272727272727,02,Sunday
3,1.2037037037037037,03,Sunday
4,0.0,04,Sunday
5,0.0,05,Sunday
6,0.0,06,Sunday
7,0.0,07,Sunday
8,0.0,08,Sunday
9,0.0,09,Sunday
10,0.0,10,Sunday
11,0.0,11,Sunday
12,0.0,12,Sunday
13,0.9142857142857143,13,Sunday
14,0.9636363636363636,14,Sunday
15,0.8135593220338984,15,Sunday
16,1.2181818181818183,16,Sunday
17,0.5363636363636364,17,Sunday
18,0.9363636363636363,18,Sunday
19,0.61,19,Sunday
20,1.2,20,Sunday
21,0.5909090909090909,21,Sunday
22,0.5285412262156448,22,Sunday
23,1.175,23,Sunday
0,0.8853448275862068,00,Monday
1,1.146590909090909,01,Monday
2,1.7,02,Monday
3,0.0,03,Monday
4,0.0,04,Monday
5,0.0,05,Monday
6,0.0,06,Monday
7,0.0,07,Monday
8,0.0,08,Monday
9,0.0,09,Monday
10,0.0,10,Monday
11,2.0833333333333335,11,Monday
12,1.44748427672956,12,Monday
13,0.0,13,Monday
14,1.4385045422781273,14,Monday
15,1.2768627450980392,15,Monday
16,1.0629984051036683,16,Monday
17,0.9348484848484848,17,Monday
18,0.5111111111111111,18,Monday
19,0.0,19,Monday
20,0.9,20,Monday
21,1.009090909090909,21,Monday
22,0.7727272727272727,22,Monday
23,1.158041958041958,23,Monday
0,1.2425720620842573,00,Tuesday
1,1.2929078014184396,01,Tuesday
2,0.0,02,Tuesday
3,0.0,03,Tuesday
4,0.0,04,Tuesday
5,0.0,05,Tuesday
6,0.0,06,Tuesday
7,0.0,07,Tuesday
8,0.0,08,Tuesday
9,0.4,09,Tuesday
10,0.0,10,Tuesday
11,0.0,11,Tuesday
12,1.9183673469387754,12,Tuesday
13,1.8181818181818181,13,Tuesday
14,1.4932659932659933,14,Tuesday
15,1.3840909090909093,15,Tuesday
16,1.34,16,Tuesday
17,1.290909090909091,17,Tuesday
18,1.15,18,Tuesday
19,0.0,19,Tuesday
20,0.0,20,Tuesday
21,0.7492307692307691,21,Tuesday
22,0.38181818181818183,22,Tuesday
23,0.9298245614035088,23,Tuesday
0,0.9272727272727272,00,Wednesday
1,0.7454545454545455,01,Wednesday
2,0.8,02,Wednesday
3,0.0,03,Wednesday
4,0.0,04,Wednesday
5,0.0,05,Wednesday
6,0.0,06,Wednesday
7,0.0,07,Wednesday
8,1.88,08,Wednesday
9,1.575,09,Wednesday
10,1.8111111111111111,10,Wednesday
11,2.5,11,Wednesday
12,2.2,12,Wednesday
13,1.752727272727273,13,Wednesday
14,1.4303030303030304,14,Wednesday
15,1.2620926243567752,15,Wednesday
16,1.26140350877193,16,Wednesday
17,0.8266666666666667,17,Wednesday
18,0.0,18,Wednesday
19,0.9090909090909091,19,Wednesday
20,0.7241379310344828,20,Wednesday
21,0.7636363636363637,21,Wednesday
22,0.38181818181818183,22,Wednesday
23,0.9454545454545454,23,Wednesday
0,0.9818181818181818,00,Thursday
1,1.3666666666666667,01,Thursday
2,1.26,02,Thursday
3,1.1818181818181819,03,Thursday
4,1.4,04,Thursday
5,1.309090909090909,05,Thursday
6,1.3454545454545455,06,Thursday
7,2.109090909090909,07,Thursday
8,1.4545454545454546,08,Thursday
9,1.8727272727272728,09,Thursday
10,1.44,10,Thursday
11,1.5625,11,Thursday
12,1.5178571428571428,12,Thursday
13,1.5686274509803921,13,Thursday
14,1.2413793103448276,14,Thursday
15,0.7636363636363637,15,Thursday
16,0.9622641509433962,16,Thursday
17,1.0689655172413792,17,Thursday
18,1.12,18,Thursday
19,0.0,19,Thursday
20,2.6,20,Thursday
21,0.7636363636363637,21,Thursday
22,1.1666666666666667,22,Thursday
23,1.309090909090909,23,Thursday
0,0.95,00,Friday
1,0.0,01,Friday
2,0.0,02,Friday
3,0.0,03,Friday
4,0.0,04,Friday
5,0.0,05,Friday
6,0.0,06,Friday
7,0.0,07,Friday
8,3.6,08,Friday
9,0.0,09,Friday
10,0.0,10,Friday
11,0.0,11,Friday
12,0.0,12,Friday
13,1.2444444444444445,13,Friday
14,1.196078431372549,14,Friday
15,1.018181818181818,15,Friday
16,0.8285714285714286,16,Friday
17,0.0,17,Friday
18,0.0,18,Friday
19,0.0,19,Friday
20,0.0,20,Friday
21,0.0,21,Friday
22,0.0,22,Friday
23,0.6666666666666666,23,Friday
0,0.7636363636363637,00,Saturday
1,0.5272727272727272,01,Saturday
2,0.6909090909090909,02,Saturday
3,0.8545454545454545,03,Saturday
4,1.3272727272727274,04,Saturday
5,1.0,05,Saturday
6,1.3636363636363635,06,Saturday
7,1.7636363636363637,07,Saturday
8,1.3818181818181818,08,Saturday
9,1.6181818181818182,09,Saturday
10,1.6727272727272726,10,Saturday
11,1.6363636363636365,11,Saturday
12,1.9090909090909092,12,Saturday
13,1.509090909090909,13,Saturday
14,0.8727272727272727,14,Saturday
15,0.8242424242424242,15,Saturday
16,0.6090909090909091,16,Saturday
17,0.6181818181818182,17,Saturday
18,0.6636363636363636,18,Saturday
19,0.20909090909090908,19,Saturday
20,0.42727272727272725,20,Saturday
21,0.2818181818181818,21,Saturday
22,0.35454545454545455,22,Saturday
23,0.709090909090909,23,Saturday
