,Growth,Hour,Day
0,0.6303030303030304,00,Sunday
1,0.39999999999999997,01,Sunday
2,0.45454545454545453,02,Sunday
3,0.5393939393939394,03,Sunday
4,0.5333333333333333,04,Sunday
5,0.6,05,Sunday
6,0.5393939393939394,06,Sunday
7,0.33636363636363636,07,Sunday
8,0.8727272727272728,08,Sunday
9,0.7090909090909091,09,Sunday
10,0.9584415584415584,10,Sunday
11,0.8812770562770563,11,Sunday
12,0.7050886220697542,12,Sunday
13,0.4094276094276094,13,Sunday
14,0.26545454545454544,14,Sunday
15,0.4580357142857143,15,Sunday
16,0.13636363636363638,16,Sunday
17,0.17167832167832167,17,Sunday
18,0.5403184386235234,18,Sunday
19,0.5939393939393939,19,Sunday
20,0.4754174397031539,20,Sunday
21,0.42208525937339497,21,Sunday
22,0.46273849607182943,22,Sunday
23,0.7272727272727272,23,Sunday
0,0.503030303030303,00,Monday
1,0.9575757575757576,01,Monday
2,0.7696969696969697,02,Monday
3,1.012121212121212,03,Monday
4,0.806060606060606,04,Monday
5,0.9393939393939394,05,Monday
6,1.0363636363636364,06,Monday
7,1.0545454545454545,07,Monday
8,1.0727272727272725,08,Monday
9,1.165811965811966,09,Monday
10,1.1563636363636365,10,Monday
11,0.9090909090909092,11,Monday
12,0.8418630751964086,12,Monday
13,0.7333333333333334,13,Monday
14,0.8484848484848483,14,Monday
15,0.6666666666666666,15,Monday
16,0.6909090909090909,16,Monday
17,0.4666666666666666,17,Monday
18,0.3636363636363636,18,Monday
19,0.5272727272727272,19,Monday
20,0.46868686868686865,20,Monday
21,0.5351180266274606,21,Monday
22,0.4818181818181818,22,Monday
23,0.6090909090909091,23,Monday
0,0.6818181818181819,00,Tuesday
1,0.7909090909090909,01,Tuesday
2,0.8386363636363636,02,Tuesday
3,1.1090909090909091,03,Tuesday
4,1.0545454545454545,04,Tuesday
5,0.9818181818181818,05,Tuesday
6,1.1134199134199134,06,Tuesday
7,1.259090909090909,07,Tuesday
8,1.0909090909090908,08,Tuesday
9,1.4011164274322168,09,Tuesday
10,1.0997761432683082,10,Tuesday
11,0.8363636363636364,11,Tuesday
12,0.9636363636363636,12,Tuesday
13,0.9249857061177815,13,Tuesday
14,0.6969696969696969,14,Tuesday
15,0.6367965367965368,15,Tuesday
16,0.3151515151515151,16,Tuesday
17,0.3117845117845118,17,Tuesday
18,0.1181818181818182,18,Tuesday
19,0.3242424242424242,19,Tuesday
20,0.13863636363636364,20,Tuesday
21,0.19450317124735728,21,Tuesday
22,0.4164355418592707,22,Tuesday
23,0.7818181818181819,23,Tuesday
0,0.6181818181818182,00,Wednesday
1,0.6606060606060605,01,Wednesday
2,0.7333333333333334,02,Wednesday
3,0.7515151515151515,03,Wednesday
4,0.9878787878787879,04,Wednesday
5,1.1557800224466892,05,Wednesday
6,1.0606060606060606,06,Wednesday
7,0.8672077922077922,07,Wednesday
8,1.2348484848484846,08,Wednesday
9,1.0112745098039215,09,Wednesday
10,1.2143360502906866,10,Wednesday
11,0.7551573426573427,11,Wednesday
12,1.0806426332288401,12,Wednesday
13,0.8636363636363635,13,Wednesday
14,0.6363636363636364,14,Wednesday
15,0.7868181818181817,15,Wednesday
16,0.6185314685314686,16,Wednesday
17,0.5772727272727273,17,Wednesday
18,0.397979797979798,18,Wednesday
19,0.4331923890063425,19,Wednesday
20,0.4460227272727273,20,Wednesday
21,0.5587878787878787,21,Wednesday
22,0.6616402116402117,22,Wednesday
23,0.9365127244989945,23,Wednesday
0,0.8452020202020203,00,Thursday
1,0.7679383116883117,01,Thursday
2,0.9784722222222222,02,Thursday
3,0.8553030303030302,03,Thursday
4,0.8448484848484848,04,Thursday
5,0.8734577922077923,05,Thursday
6,1.1818181818181819,06,Thursday
7,1.1272727272727272,07,Thursday
8,0.7540909090909089,08,Thursday
9,1.134207813907062,09,Thursday
10,0.7883542319749216,10,Thursday
11,0.8420846394984326,11,Thursday
12,0.7363636363636363,12,Thursday
13,0.918262987012987,13,Thursday
14,0.5311688311688312,14,Thursday
15,0.26666666666666666,15,Thursday
16,0.5333333333333333,16,Thursday
17,0.3863922241280732,17,Thursday
18,0.40723752956057857,18,Thursday
19,0.44772727272727275,19,Thursday
20,0.4424242424242424,20,Thursday
21,0.02294699011680144,21,Thursday
22,0.7020833333333334,22,Thursday
23,0.7,23,Thursday
0,0.5727272727272728,00,Friday
1,0.6090909090909091,01,Friday
2,0.8181818181818181,02,Friday
3,0.9545454545454546,03,Friday
4,0.7909090909090909,04,Friday
5,1.0636363636363637,05,Friday
6,1.2181818181818183,06,Friday
7,1.1025518341307814,07,Friday
8,1.256902356902357,08,Friday
9,1.2234261501210655,09,Friday
10,0.6909789721110475,10,Friday
11,0.7696969696969697,11,Friday
12,0.8555555555555555,12,Friday
13,0.31455733808674985,13,Friday
14,0.3515151515151515,14,Friday
15,0.43636363636363634,15,Friday
16,0.38181818181818183,16,Friday
17,0.3515151515151515,17,Friday
18,0.7589225589225589,18,Friday
19,0.19253246753246753,19,Friday
20,0.2545454545454546,20,Friday
21,0.20681818181818182,21,Friday
22,0.45111111111111113,22,Friday
23,0.19037433155080213,23,Friday
0,0.2727272727272727,00,Saturday
1,0.5727272727272728,01,Saturday
2,0.7,02,Saturday
3,0.509090909090909,03,Saturday
4,0.4818181818181818,04,Saturday
5,0.7181818181818183,05,Saturday
6,0.6545454545454545,06,Saturday
7,0.8181818181818181,07,Saturday
8,0.6545454545454545,08,Saturday
